Sample,Group
SRR10033141,Abundant
SRR10033144,Abundant
SRR10159290,Abundant
SRR10159293,Abundant
SRR10159299,Abundant
SRR10159308,Abundant
SRR10604353,Abundant
SRR10604354,Abundant
SRR10604355,Abundant
SRR10604356,Abundant
SRR10604357,Abundant
SRR10604358,Abundant
SRR10604359,Abundant
SRR10604360,Abundant
SRR10604361,Abundant
SRR10604362,Abundant
SRR10604363,Abundant
SRR10604364,Abundant
SRR10604365,Abundant
SRR10604366,Abundant
SRR10604367,Abundant
SRR10604368,Abundant
SRR10604369,Abundant
SRR10604370,Abundant
SRR10604371,Abundant
SRR10604372,Abundant
SRR10604373,Abundant
SRR10604374,Abundant
SRR10604375,Abundant
SRR10604376,Abundant
SRR10604377,Abundant
SRR10604378,Abundant
SRR10604379,Abundant
SRR10604380,Abundant
SRR10604381,Abundant
SRR10604382,Abundant
SRR10604383,Abundant
SRR10604384,Abundant
SRR12001324,Abundant
SRR12001325,Abundant
SRR12001326,Abundant
SRR12001327,Abundant
SRR12001328,Abundant
SRR12001329,Abundant
SRR12001330,Abundant
SRR12001331,Abundant
SRR12001332,Abundant
SRR12470634,Abundant
SRR12470635,Abundant
SRR12470659,Abundant
SRR12572697,Abundant
SRR12572699,Abundant
SRR12572700,Abundant
SRR12572707,Abundant
SRR13011266,Abundant
SRR13011276,Abundant
SRR13011282,Abundant
SRR13011285,Abundant
SRR13011286,Abundant
SRR13011289,Abundant
SRR13011293,Abundant
SRR13011298,Abundant
SRR13011299,Abundant
SRR13023223,Abundant
SRR13023224,Abundant
SRR13023225,Abundant
SRR13023226,Abundant
SRR13023227,Abundant
SRR13023228,Abundant
SRR13023229,Abundant
SRR13023230,Abundant
SRR13023232,Abundant
SRR13023233,Abundant
SRR13023234,Abundant
SRR13023235,Abundant
SRR13023237,Abundant
SRR13240050,Abundant
SRR13240051,Abundant
SRR13240052,Abundant
SRR13240053,Abundant
SRR13240054,Abundant
SRR13612594,Abundant
SRR13612595,Abundant
SRR13612596,Abundant
SRR13612597,Abundant
SRR13619036,Abundant
SRR13619037,Abundant
SRR13619038,Abundant
SRR14088427,Abundant
SRR14088428,Abundant
SRR14088429,Abundant
SRR14088440,Abundant
SRR14479200,Abundant
SRR14479205,Abundant
SRR14479206,Abundant
SRR14479207,Abundant
SRR14479208,Abundant
SRR14479209,Abundant
SRR14479210,Abundant
SRR14479211,Abundant
SRR14479225,Abundant
SRR14479226,Abundant
SRR14479227,Abundant
SRR14479228,Abundant
SRR14479229,Abundant
SRR14479230,Abundant
SRR14479245,Abundant
SRR14479246,Abundant
SRR14479247,Abundant
SRR14479248,Abundant
SRR14479249,Abundant
SRR14479250,Abundant
SRR14479264,Abundant
SRR14479265,Abundant
SRR14479268,Abundant
SRR14479269,Abundant
SRR14907352,Abundant
SRR14907353,Abundant
SRR14907354,Abundant
SRR14907355,Abundant
SRR14907356,Abundant
SRR17224856,Abundant
SRR17224857,Abundant
SRR17224858,Abundant
SRR17224859,Abundant
SRR17224860,Abundant
SRR17224861,Abundant
SRR17224862,Abundant
SRR17224863,Abundant
SRR17224864,Abundant
SRR17224865,Abundant
SRR17711211,Abundant
SRR17711215,Abundant
SRR17711237,Abundant
SRR17711241,Abundant
SRR19328989,Abundant
SRR19328990,Abundant
SRR19328991,Abundant
SRR19328996,Abundant
SRR19329007,Abundant
SRR19329018,Abundant
SRR19329029,Abundant
SRR19329040,Abundant
SRR19329041,Abundant
SRR20110003,Abundant
SRR20110004,Abundant
SRR20110005,Abundant
SRR20290374,Abundant
SRR20290375,Abundant
SRR20290376,Abundant
SRR20290377,Abundant
SRR20290388,Abundant
SRR20290399,Abundant
SRR20290410,Abundant
SRR20290411,Abundant
SRR21615878,Abundant
SRR21615879,Abundant
SRR21615882,Abundant
SRR21615883,Abundant
SRR22059209,Abundant
SRR22059220,Abundant
SRR22059231,Abundant
SRR22059267,Abundant
SRR22059276,Abundant
SRR22059277,Abundant
SRR22073311,Abundant
SRR22073312,Abundant
SRR22073313,Abundant
SRR22106546,Abundant
SRR22106553,Abundant
SRR22106560,Abundant
SRR22106561,Abundant
SRR22106562,Abundant
SRR22106563,Abundant
SRR22463539,Abundant
SRR22463540,Abundant
SRR22463541,Abundant
SRR22463542,Abundant
SRR22463543,Abundant
SRR22463544,Abundant
SRR22463545,Abundant
SRR22463546,Abundant
SRR22463548,Abundant
SRR22463549,Abundant
SRR22463550,Abundant
SRR22463551,Abundant
SRR24090957,Abundant
SRR24090958,Abundant
SRR24090959,Abundant
SRR24090966,Abundant
SRR24090967,Abundant
SRR24090968,Abundant
SRR24112416,Abundant
SRR24112417,Abundant
SRR24112418,Abundant
SRR24112419,Abundant
SRR24112420,Abundant
SRR24112421,Abundant
SRR24112422,Abundant
SRR24112423,Abundant
SRR24112424,Abundant
SRR24112425,Abundant
SRR24112426,Abundant
SRR24112427,Abundant
SRR24112428,Abundant
SRR24112429,Abundant
SRR24112430,Abundant
SRR24112431,Abundant
SRR24112432,Abundant
SRR24283330,Abundant
SRR24283331,Abundant
SRR24283334,Abundant
SRR24283345,Abundant
SRR24283356,Abundant
SRR24283367,Abundant
SRR24283378,Abundant
SRR24283389,Abundant
SRR24283398,Abundant
SRR24283399,Abundant
SRR24283400,Abundant
SRR24283401,Abundant
SRR25992317,Abundant
SRR25992318,Abundant
SRR25992319,Abundant
SRR25992320,Abundant
SRR25992321,Abundant
SRR25992328,Abundant
SRR25992329,Abundant
SRR25992330,Abundant
SRR25992331,Abundant
SRR25992339,Abundant
SRR25992350,Abundant
SRR25992351,Abundant
SRR25998238,Abundant
SRR25998259,Abundant
SRR25998270,Abundant
SRR25998282,Abundant
SRR25998315,Abundant
SRR25998316,Abundant
SRR26322612,Abundant
SRR26322620,Abundant
SRR26322621,Abundant
SRR26322622,Abundant
SRR26322623,Abundant
SRR26322624,Abundant
SRR26322625,Abundant
SRR26322626,Abundant
SRR26322627,Abundant
SRR29038938,Abundant
SRR29038939,Abundant
SRR29038946,Abundant
SRR29038947,Abundant
SRR3337803,Abundant
SRR3337804,Abundant
SRR3337805,Abundant
SRR3337806,Abundant
SRR3337807,Abundant
SRR3337808,Abundant
SRR3337847,Abundant
SRR5083096,Abundant
SRR5083097,Abundant
SRR5083102,Abundant
SRR5801184,Abundant
SRR5801185,Abundant
SRR5801186,Abundant
SRR6376636,Abundant
SRR6376637,Abundant
SRR6376639,Abundant
SRR6376660,Abundant
SRR6376661,Abundant
SRR6510572,Abundant
SRR6510574,Abundant
SRR6510575,Abundant
SRR8949212,Abundant
SRR8949214,Abundant
SRR8949215,Abundant
SRR8949216,Abundant
SRR8949217,Abundant
