Longitude,Latitude
111.9,41.783
116.16,42.01
100.5836,37.2939
100.715,39.1864
106.8333,37.1
100.75,39.2
101.8833,35.9667
102.7833,37.1833
106.8333,31.32
111.895,41.7789
97.930497,39.838783
97.788113,39.762238
97.702177,39.605533
97.68075,39.476482
97.651752,39.363582
97.880003,39.309462
98.176408,39.11318
99.578432,38.433893
99.72065,38.361722
99.851733,38.289237
99.995093,38.232072
100.104153,38.222858
100.365418,38.082083
101.8833,33.65
101.875,29.83
107.2167,37.7
101.2024,28.6828
111.8947,41.7786
100.715,36.915
116.99,42.43
116.35,44.225
80.5856,36.1339
116.3922,44.155
124.8989,46.1698
102.87,33.62
101.5355,34.8809
100.3583,34.4083
100.8833,34.6167
101.2,37.6167
111.2239,41.2528
111.8949,41.7788
107.4917,37.8167
117.5,44.5
119.65,43.0333
116.1658,43.8397
106.3911,36.285
113.3583,38.85
